"Date","Open","High","Low","Close","Volume"
"07/25/2025","20.675","21.045","20.36","20.7","244,275,900"
"07/24/2025","23.49","23.575","22.6","22.63","131,963,300"
"07/23/2025","23.255","23.62","22.92","23.49","68,711,720"
"07/22/2025","23.34","23.535","23.08","23.24","53,969,850"
"07/21/2025","23.4","23.83","23.16","23.26","61,657,990"
"07/18/2025","23.22","23.59","22.9","23.1","60,195,600"
"07/17/2025","22.66","23.045","22.5902","22.8","49,384,040"
"07/16/2025","22.99","23.13","22.25","22.69","58,865,890"
"07/15/2025","23.57","23.78","22.9","22.92","66,099,350"
"07/14/2025","23.24","23.4","22.88","23.3","48,420,520"
"07/11/2025","23.56","23.66","23.16","23.43","49,367,910"
"07/10/2025","23.63","24.04","23.48","23.82","54,599,840"
"07/09/2025","23.29","23.53","23.13","23.44","70,247,740"
"07/08/2025","22.18","23.785","22.1323","23.59","119,545,500"
"07/07/2025","22.205","22.39","21.86","22","80,725,240"
"07/03/2025","22.15","22.63","21.99","22.49","61,175,950"
"07/02/2025","22.525","22.77","21.52","21.88","138,245,300"
"07/01/2025","22.325","23.155","22.2831","22.85","79,094,910"
"06/30/2025","22.97","22.97","22.265","22.4","77,102,420"
"06/27/2025","22.71","23.38","22.42","22.69","95,542,380"
"06/26/2025","22.4","22.6201","22.21","22.5","63,229,340"
"06/25/2025","22.575","22.77","22.125","22.2","64,975,120"
"06/24/2025","21.34","22.69","21.325","22.55","130,368,700"
"06/23/2025","21.065","21.58","20.73","21.19","81,460,980"
"06/20/2025","21.7","21.885","20.88","21.08","133,472,800"
"06/18/2025","20.805","21.6","20.66","21.49","94,200,570"
"06/17/2025","20.63","21.48","20.62","20.8","87,512,160"
"06/16/2025","20.41","20.93","20.3","20.74","86,745,120"
"06/13/2025","20.33","20.6","20.1","20.14","87,655,890"
"06/12/2025","20.5","20.98","20.41","20.77","78,175,910"
"06/11/2025","21.78","21.83","20.38","20.68","146,784,500"
"06/10/2025","20.5","22.44","20.28","22.08","171,457,000"
"06/09/2025","20.22","20.96","20.22","20.48","92,893,900"
"06/06/2025","20.17","20.44","20.03","20.06","70,072,850"
"06/05/2025","20.27","20.55","19.85","19.99","72,595,610"
"06/04/2025","20.34","20.5","20.01","20.25","71,166,550"
"06/03/2025","19.75","20.4099","19.4","20.29","80,401,870"
"06/02/2025","19.482","19.82","19.3745","19.74","67,885,470"
"05/30/2025","20.26","20.26","19.31","19.55","114,281,900"
"05/29/2025","20.54","20.595","20.1","20.25","66,485,210"
"05/28/2025","20.57","20.64","20.33","20.37","46,096,480"
"05/27/2025","20.44","20.67","20.18","20.55","69,504,560"
"05/23/2025","20.16","20.27","19.94","20.05","68,206,060"
"05/22/2025","20.73","20.9","20.51","20.55","56,077,470"
"05/21/2025","21.19","21.6292","20.59","20.69","62,904,700"
"05/20/2025","21.325","21.41","21.12","21.27","48,497,380"
"05/19/2025","21.18","21.56","21.05","21.38","64,279,080"
"05/16/2025","21.53","21.76","21.35","21.66","55,795,140"
"05/15/2025","21.23","21.63","21.185","21.55","66,705,460"
"05/14/2025","22.35","22.46","21.46","21.52","91,584,830"
"05/13/2025","22.355","22.88","22.3","22.56","76,850,390"
"05/12/2025","22.18","22.67","21.88","22.18","94,578,690"
"05/09/2025","21.2","21.45","20.83","21.42","51,768,570"
"05/08/2025","21.01","21.24","20.64","21","71,651,700"
"05/07/2025","19.97","20.37","19.82","20.31","61,134,290"
"05/06/2025","19.92","20.12","19.77","19.94","51,330,770"
"05/05/2025","20.39","20.58","20.235","20.27","44,236,980"
"05/02/2025","20.26","20.78","20.21","20.62","63,298,510"
"05/01/2025","20.215","20.65","19.94","19.98","72,607,510"
"04/30/2025","19.71","20.18","19.55","20.1","68,297,320"
"04/29/2025","20.31","20.845","20.22","20.34","70,031,860"
"04/28/2025","20.12","21.08","20.05","20.51","96,624,420"
"04/25/2025","19.73","20.18","19.34","20.05","147,711,200"
"04/24/2025","21.035","21.55","20.88","21.49","117,086,200"
"04/23/2025","20.715","21.03","20.31","20.59","97,188,100"
"04/22/2025","19.055","19.735","19.04","19.51","83,365,630"
"04/21/2025","18.93","18.985","18.25","18.84","72,409,950"
"04/17/2025","18.91","19.1","18.56","18.93","85,646,670"
"04/16/2025","19.34","19.43","18.72","19.23","89,469,700"
"04/15/2025","20.2","20.47","19.81","19.85","64,056,900"
"04/14/2025","20.59","21.05","19.9801","20.31","101,964,400"
"04/11/2025","19.245","19.795","18.175","19.74","128,425,800"
"04/10/2025","20.675","20.82","19.16","19.88","129,064,900"
"04/09/2025","18.07","21.73","17.975","21.53","224,183,500"
"04/08/2025","20.06","20.39","17.665","18.13","163,982,700"
"04/07/2025","19.14","20.67","18.56","19.57","142,491,200"
"04/04/2025","21.7","22.2","19.7","19.85","175,014,700"
"04/03/2025","21.4","23.9","20.86","22.43","242,972,100"
"04/02/2025","21.89","22.38","21.7","21.98","58,878,850"
"04/01/2025","22.56","22.62","21.66","22.05","64,060,360"
"03/31/2025","22.38","22.745","21.75","22.71","65,832,020"
"03/28/2025","23.35","23.58","22.56","22.71","58,365,260"
"03/27/2025","23.285","23.76","22.855","23.62","57,720,580"
"03/26/2025","24.25","24.4194","23.25","23.42","59,678,010"
"03/25/2025","24.175","24.75","24.11","24.2","51,743,280"
"03/24/2025","24.715","24.99","24.13","24.22","69,169,030"
"03/21/2025","23.6","24.7","23.49","24.26","94,110,710"
"03/20/2025","23.77","24.31","23.73","23.96","68,937,580"
"03/19/2025","24.9","25.2299","24.03","24.12","135,491,400"
"03/18/2025","25.55","26.41","25.39","25.92","132,488,800"
"03/17/2025","24.42","26.145","24.37","25.69","160,723,600"
"03/14/2025","23.675","24.37","23.52","24.05","116,901,600"
"03/13/2025","23.5","24.53","23.13","23.7","243,261,000"
"03/12/2025","20.79","21.17","20.21","20.68","128,671,100"
"03/11/2025","19.965","20.06","19.29","19.78","80,788,990"
"03/10/2025","20.24","20.51","19.65","19.93","82,760,580"
"03/07/2025","20.27","21.2","20.11","20.64","81,099,650"
"03/06/2025","20.26","21.13","20","20.75","96,466,380"
"03/05/2025","21.33","21.36","20.18","20.81","127,219,300"
"03/04/2025","22.54","22.63","20.76","21.33","152,182,200"
"03/03/2025","25","25.04","22.52","22.74","141,348,700"
"02/28/2025","23.02","24.44","22.64","23.73","104,133,800"
"02/27/2025","23.7","24.4","23.07","23.09","97,871,950"
"02/26/2025","23.245","23.82","23.21","23.52","67,449,300"
"02/25/2025","24.21","24.28","22.7701","22.99","88,886,470"
"02/24/2025","24.55","24.8","23.62","24.27","91,358,070"
"02/21/2025","25.96","26.29","24.84","24.87","111,630,900"
"02/20/2025","25.56","26.12","24.48","26.09","144,939,600"
"02/19/2025","25.98","26.33","25.46","25.72","151,881,700"
"02/18/2025","24.6","27.55","24.49","27.39","284,292,200"
"02/14/2025","24.36","25.19","22.86","23.6","230,254,100"
"02/13/2025","22.84","24.83","22.79","24.13","248,661,300"
"02/12/2025","21.98","22.56","20.93","22.48","162,631,200"
"02/11/2025","19.87","21.88","19.8618","20.97","150,960,700"
"02/10/2025","19.25","20.08","19.24","19.77","73,007,270"
"02/07/2025","19.35","19.36","19.03","19.1","58,277,920"
"02/06/2025","19.51","19.7","19.22","19.38","45,553,770"
"02/05/2025","19.19","19.77","18.91","19.65","66,250,250"
"02/04/2025","19.1","19.53","19.02","19.29","54,098,200"
"02/03/2025","18.97","19.75","18.78","19.38","77,523,140"
"01/31/2025","20.1","20.33","19.38","19.43","117,474,900"
"01/30/2025","19.72","20.1","19.43","20.01","108,167,000"
"01/29/2025","19.87","20.08","19.66","19.75","86,506,820"
"01/28/2025","20.34","20.342","19.74","19.8","73,411,390"
